angle,eccentricity,cx,cy,r,label
0.95,0.852,0.421052632,0.653846154,0.777688956,1
0.883333333,0.887,0.263157895,0.576923077,0.634107494,1
0.877777778,0.882,0.473684211,0.596153846,0.761430325,1
0.877777778,0.89,0.526315789,0.25,0.582673416,1
0.872222222,0.895,0.526315789,0.192307692,0.560348604,1
0.883333333,0.902,0.315789474,0.153846154,0.351271449,1
0.872222222,0.874,0.736842105,0.115384615,0.745821626,1
0.872222222,0.864,0.578947368,0.538461538,0.790645864,1
0.883333333,0.88,0.368421053,0.192307692,0.415591531,1
0.894444444,0.867,0.526315789,0.442307692,0.687491385,1
0.938888889,0.896,0.368421053,0.557692308,0.668397174,1
0.961111111,0.873,0.210526316,0.480769231,0.524843199,1
0.994444444,0.892,0.578947368,0.653846154,0.873324022,1
0.022222222,0.891,0.315789474,0.5,0.591373817,1
0.038888889,0.877,0.315789474,0.557692308,0.640892895,1
0.05,0.88,0.578947368,0.788461538,0.978187943,1
0.066666667,0.875,0.789473684,0.423076923,0.895691231,1
0.066666667,0.877,0.789473684,0.692307692,1.050027923,1
0.066666667,0.879,0.842105263,0.557692308,1.010030685,1
0.066666667,0.884,0.631578947,0.634615385,0.895337173,1
0.066666667,0.875,0.631578947,0.769230769,0.995292893,1
0.077777778,0.868,0.894736842,0.423076923,0.989721223,1
0.083333333,0.869,0.842105263,0.596153846,1.031765808,1
0.094444444,0.875,0.947368421,0.596153846,1.119332986,1
0.05,0.885,0.684210526,0.596153846,0.907492949,1
0.016666667,0.884,0.789473684,0.634615385,1.012919239,1
0.977777778,0.886,0.315789474,0.480769231,0.575206089,1
0.961111111,0.897,0.421052632,0.557692308,0.698788973,1
0.938888889,0.902,0.421052632,0.442307692,0.610672918,1
0.927777778,0.9,0.421052632,0.538461538,0.683539426,1
0.911111111,0.877,0.210526316,0.673076923,0.705233205,1
0.911111111,0.913,0.421052632,0.307692308,0.521497723,1
0.905555556,0.895,0.578947368,0.442307692,0.728571307,1
0.905555556,0.91,0.263157895,0.384615385,0.466026901,1
0.894444444,0.875,0.315789474,0.173076923,0.360109168,1
0.905555556,0.899,0.578947368,0.307692308,0.655632985,1
0.9,0.876,0.631578947,0.173076923,0.654864557,1
0.911111111,0.894,0.789473684,0.269230769,0.834118639,1
0.95,0.907,0.526315789,0.423076923,0.675279492,1
0.972222222,0.907,0.421052632,0.576923077,0.714230744,1
0.011111111,0.89,0.421052632,0.634615385,0.761591758,1
0.016666667,0.897,0.315789474,0.634615385,0.708843903,1
0.033333333,0.886,0.526315789,0.634615385,0.824466492,1
0.05,0.885,0.473684211,0.557692308,0.731708577,1
0.044444444,0.886,0.578947368,0.480769231,0.752541765,1
0.05,0.886,0.736842105,0.615384615,0.960017975,1
0.011111111,0.895,0.473684211,0.557692308,0.731708577,1
0.961111111,0.883,0.631578947,0.307692308,0.702542897,1
0.938888889,0.882,0.105263158,0.384615385,0.398759736,1
0.95,0.902,0.315789474,0.288461538,0.427706735,1
0.944444444,0.883,0.263157895,0.365384615,0.450286569,1
0.944444444,0.903,0.473684211,0.230769231,0.526907174,1
0.944444444,0.914,0.631578947,0.288461538,0.694335672,1
0.95,0.922,0.684210526,0.307692308,0.75021237,1
0.055555556,0.882,0.736842105,0.403846154,0.840254726,1
0.905555556,0.859,0.526315789,0.153846154,0.548340176,1
0.911111111,0.859,0.368421053,0.288461538,0.467914662,1
0.966666667,0.886,0.578947368,0.288461538,0.646830823,1
0.988888889,0.875,0.263157895,0.346153846,0.434827049,1
0.011111111,0.872,0.631578947,0.25,0.679258394,1
0,0.892,0.368421053,0.423076923,0.561006377,1
0.977777778,0.877,0.526315789,0.288461538,0.600181946,1
0.927777778,0.87,0.263157895,0.288461538,0.390464002,1
0.922222222,0.825,0.315789474,0.192307692,0.369736718,1
0.927777778,0.884,0.473684211,0.288461538,0.554605076,1
0.938888889,0.901,0.473684211,0.288461538,0.554605076,1
0.916666667,0.844,0.473684211,0.25,0.535608749,1
0.916666667,0.88,0.578947368,0.346153846,0.674538761,1
0.988888889,0.872,0.684210526,0.307692308,0.75021237,1
0,0.873,0.526315789,0.307692308,0.609657991,1
0.011111111,0.88,0.526315789,0.384615385,0.651872153,1
0.005555556,0.876,0.631578947,0.365384615,0.729656003,1
0.961111111,0.843,0.631578947,0.230769231,0.672418325,1
0.944444444,0.862,0.421052632,0.211538462,0.471204669,1
0.944444444,0.887,0.421052632,0.326923077,0.533070368,1
0.95,0.869,0.368421053,0.25,0.445234851,1
0.933333333,0.881,0.263157895,0.461538462,0.53129072,1
0.944444444,0.873,0.315789474,0.288461538,0.427706735,1
0.944444444,0.889,0.368421053,0.403846154,0.546649603,1
0.944444444,0.871,0.894736842,0.038461538,0.895563122,1
0.927777778,0.834,0.315789474,0.269230769,0.414979757,1
0.988888889,0.875,0.526315789,0.25,0.582673416,1
0,0.878,0.421052632,0.307692308,0.521497723,1
0.022222222,0.868,0.526315789,0.192307692,0.560348604,1
0.972222222,0.862,0.473684211,0.192307692,0.511232804,1
0.938888889,0.858,0.368421053,0.096153846,0.380761913,1
0.933333333,0.855,0.473684211,0.096153846,0.483344902,1
0.883333333,0.81,0.526315789,0.134615385,0.543258329,1
0.927777778,0.847,0.578947368,0.134615385,0.594391585,1
0.944444444,0.812,0.684210526,0.019230769,0.684480728,1
0.95,0.807,0.526315789,0.096153846,0.535026982,1
0.988888889,0.84,0.473684211,0.115384615,0.487534964,1
0.95,0.842,0.315789474,0.057692308,0.32101619,1
0.955555556,0.857,0.368421053,0.038461538,0.37042322,1
0.95,0.844,0.421052632,0.096153846,0.43189221,1
0.977777778,0.869,0.894736842,0,0.894736842,1
0.972222222,0.873,0.473684211,0.096153846,0.483344902,1
0,0.885,0.631578947,0.538461538,0.829959514,1
0.944444444,0.871,0.473684211,0.461538462,0.66135806,1
0.05,0.899,0.947368421,0.596153846,1.119332986,1
0.933333333,0.926,0.157894737,0.634615385,0.65396287,2
0.911111111,0.924,0.210526316,0.615384615,0.650399534,2
0.894444444,0.914,0.263157895,0.653846154,0.704816906,2
0.888888889,0.904,0.368421053,0.692307692,0.784234667,2
0.877777778,0.907,0.473684211,0.576923077,0.74646967,2
0.866666667,0.909,0.421052632,0.653846154,0.777688956,2
0.861111111,0.915,0.368421053,0.692307692,0.784234667,2
0.866666667,0.905,0.526315789,0.461538462,0.700018615,2
0.855555556,0.912,0.631578947,0.442307692,0.771056458,2
0.855555556,0.907,0.578947368,0.673076923,0.887813381,2
0.855555556,0.913,0.526315789,0.557692308,0.766830503,2
0.872222222,0.914,0.421052632,0.480769231,0.639080881,2
0.888888889,0.907,0.578947368,0.403846154,0.705883681,2
0.916666667,0.923,0.526315789,0.365384615,0.640713841,2
0.944444444,0.931,0.315789474,0.596153846,0.674627601,2
0.972222222,0.922,0.684210526,0.365384615,0.775660983,2
0.988888889,0.924,0.421052632,0.403846154,0.583418405,2
0.005555556,0.926,0.210526316,0.730769231,0.760489973,2
0.011111111,0.92,0.157894737,0.634615385,0.65396287,2
0.022222222,0.909,0.368421053,0.615384615,0.717239358,2
0.027777778,0.906,0.473684211,0.519230769,0.702835203,2
0.027777778,0.907,0.473684211,0.557692308,0.731708577,2
0.033333333,0.907,0.421052632,0.711538462,0.826784314,2
0.027777778,0.907,0.421052632,0.692307692,0.810293317,2
0.022222222,0.911,0.315789474,0.634615385,0.708843903,2
0,0.914,0.263157895,0.538461538,0.599327044,2
0.983333333,0.924,0.157894737,0.5,0.524338391,2
0.966666667,0.913,0.210526316,0.576923077,0.614134811,2
0.955555556,0.906,0.157894737,0.576923077,0.598139603,2
0.944444444,0.904,0.368421053,0.519230769,0.636658985,2
0.938888889,0.911,0.578947368,0.480769231,0.752541765,2
0.938888889,0.907,0.315789474,0.615384615,0.691679996,2
0.933333333,0.901,0.473684211,0.634615385,0.79190493,2
0.927777778,0.898,0.473684211,0.538461538,0.717159368,2
0.927777778,0.889,0.684210526,0.461538462,0.825325267,2
0.922222222,0.879,0.526315789,0.384615385,0.651872153,2
0.927777778,0.9,0.368421053,0.519230769,0.636658985,2
0.922222222,0.897,0.631578947,0.480769231,0.793744934,2
0.927777778,0.898,0.368421053,0.596153846,0.700809161,2
0.922222222,0.892,0.578947368,0.442307692,0.728571307,2
0.933333333,0.892,0.526315789,0.480769231,0.712844558,2
0.944444444,0.908,0.368421053,0.634615385,0.733805669,2
0.966666667,0.923,0.526315789,0.576923077,0.780928003,2
0.027777778,0.912,0.315789474,0.615384615,0.691679996,2
0.927777778,0.903,0.631578947,0.461538462,0.782246584,2
0.955555556,0.913,0.736842105,0.384615385,0.831183062,2
0.994444444,0.922,0.421052632,0.576923077,0.714230744,2
0.011111111,0.918,0.315789474,0.634615385,0.708843903,2
0.022222222,0.914,0.526315789,0.461538462,0.700018615,2
0.022222222,0.917,0.578947368,0.634615385,0.859020804,2
0.011111111,0.922,0.421052632,0.5,0.65367065,2
0.011111111,0.925,0.578947368,0.423076923,0.717059368,2
0.005555556,0.925,0.526315789,0.442307692,0.687491385,2
0.005555556,0.926,0.368421053,0.5,0.621074933,2
0.988888889,0.929,0.526315789,0.288461538,0.600181946,2
0.977777778,0.927,0.473684211,0.346153846,0.586684938,2
0.955555556,0.902,0.578947368,0.346153846,0.674538761,2
0.955555556,0.889,0.526315789,0.384615385,0.651872153,2
0.95,0.926,0.368421053,0.269230769,0.456310508,2
0.894444444,0.916,0.526315789,0.269230769,0.591179767,2
0.861111111,0.909,0.789473684,0.230769231,0.822510265,2
0.855555556,0.903,1,0.019230769,1.000184894,2
0.855555556,0.912,0.631578947,0.153846154,0.650046618,2
0.838888889,0.901,0.789473684,0.057692308,0.791578865,2
0.85,0.911,0.894736842,0.076923077,0.898037402,2
0.855555556,0.913,0.736842105,0.057692308,0.739097213,2
0.872222222,0.906,0.947368421,0.019230769,0.947563585,2
0.9,0.934,0.421052632,0.057692308,0.424986731,2
0.911111111,0.925,0.842105263,0,0.842105263,2
0.927777778,0.925,0.684210526,0.057692308,0.686638512,2
0.938888889,0.926,0.736842105,0.076923077,0.74084644,2
0.95,0.925,0.473684211,0.115384615,0.487534964,2
0.955555556,0.924,0.578947368,0.134615385,0.594391585,2
0.966666667,0.926,0.526315789,0.134615385,0.543258329,2
0.977777778,0.924,0.631578947,0.211538462,0.666063426,2
0.983333333,0.927,0.578947368,0.230769231,0.623245131,2
0.961111111,0.933,0.052631579,0.75,0.751844454,2
0.955555556,0.945,0,0.730769231,0.730769231,2
0.955555556,0.934,0.105263158,0.692307692,0.700264431,2
0.95,0.94,0.052631579,0.826923077,0.828596318,2
0.95,0.941,0.105263158,0.807692308,0.81452268,2
0.95,0.937,0.157894737,0.942307692,0.955444679,2
0.95,0.938,0.052631579,1,1.001384084,2
0.95,0.936,0.210526316,0.846153846,0.871950492,2
0.888888889,0.936,0.473684211,0.423076923,0.635114804,2
0.011111111,0.925,0.526315789,0.615384615,0.809757083,2
0.016666667,0.922,0.736842105,0.673076923,0.997982381,2
0.016666667,0.921,0.894736842,0.423076923,0.989721223,2
0.016666667,0.923,0.631578947,0.576923077,0.855413469,2
0.016666667,0.919,0.736842105,0.596153846,0.947805727,2
0.016666667,0.92,0.736842105,0.442307692,0.85940234,2
0.016666667,0.924,0.578947368,0.673076923,0.887813381,2
0.016666667,0.922,0.789473684,0.596153846,0.989276557,2
0.922222222,0.938,0.631578947,0.307692308,0.702542897,2
0.894444444,0.929,0.842105263,0.076923077,0.845611278,2
0.961111111,0.946,0.315789474,0.826923077,0.885169344,2
0.955555556,0.944,0.157894737,0.903846154,0.917533987,2
0.955555556,0.943,0.263157895,0.75,0.794828332,2
0.955555556,0.944,0.473684211,0.692307692,0.83884842,2
0.944444444,0.936,0.578947368,0.423076923,0.717059368,2
