,0,1,2/v,3,4,5,6,7,8,9,a,b,c,d,e,f,g,i,k,l,m,n,o,p,q,r,s,t,u,w,x,y,z
0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/v,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,0.01,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,0.99,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
a,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
b,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
c,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
d,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
e,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
f,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
g,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
i,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
k,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
l,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
m,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
n,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
o,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
p,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
q,,0.01,,,,,,,,,,,,,,,,0.01,,,,,,,0.98,,,,,,,,
r,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
s,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
t,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
